skew_confidence,distance_closest_building,road_area,car_area,car_area_quantile,road_area_quantile,abs_slope_diff_huber,skew_confidence_quantile,distance_closest_building_quantile
15,12.14811525378278,227392.5,182973.5,D10,D7,0.020397352299288712,D4,D9
32,12.105746266477729,239359.5,43254,D4,D7,0.6005787954610025,D6,D9
23,8.941637787934779,170013,81459,D6,D4,2.0352255994134034,D5,D3
23,10.911527688806247,182650,92244.5,D6,D4,0.001386687,D5,D7
19,18.922676034841302,274582,77330,D6,D9,0.8291000764733896,D4,D10
44,11.640327093472424,245356.5,30643,D3,D8,0.1549623462866237,D7,D8
3,20.200104199985528,207706,2116,D2,D6,0.4398418031837198,D1,D10
8,20.47496664003123,268185.5,0,D1,D9,0.30627452747778877,D2,D10
25,11.883305128371433,260901.5,46385,D4,D9,0.33565157509645194,D5,D8
18,12.223989963626924,350355,2686,D2,D10,0.45093527513658166,D4,D9
102,6.951937634902262,195840,31823.5,D3,D5,0.023570473707995365,D10,D1
114,8.795718824329814,291733,4986.5,D2,D10,0.5761863652549806,D10,D3
12,17.368350288225468,67223,287096,D10,D1,0.18856202471459382,D3,D10
27,9.833111143503007,129776,127673,D8,D2,2.255585953456892,D6,D5
22,8.808996627794732,209711.5,0,D1,D6,0.11478338177463687,D5,D3
19,11.586084929289733,273318,91410,D6,D9,0.005287858,D4,D8
36,13.005578152273142,232491,34984.5,D4,D7,0.33465403972503616,D7,D9
57,8.450884274101837,113223.5,16946,D3,D2,0.685727112,D8,D3
37,12.23522859105302,349346,0,D1,D10,0.9324500070302386,D7,D9
53,10.93887519211513,275973.5,86949.5,D6,D9,0.23723253968164448,D8,D7
1,19.96816148993497,352627,41874,D4,D10,2.262601348,D1,D10
18,7.520165909188025,130311,107426,D7,D2,2.2438261922254377,D4,D2
10,12.431695549524033,162964.5,4660.5,D2,D3,1.8268327140220484,D3,D9
24,11.267175982229404,293869,48364,D4,D10,0.2670244408926346,D5,D7
35,9.781581807,276356,43702,D4,D9,0.6696317944430115,D7,D5
72,5.440473710030664,180659.5,0,D1,D4,0.18581442917474145,D9,D1
6,9.138188644855214,142013,10550,D2,D2,0.17926990874420956,D2,D4
105,11.076307121829496,256516,72626,D5,D8,0.059911453,D10,D7
8,6.901832916082716,24712,0,D1,D1,0.579253071,D2,D1
102,15.311086537037488,186532.5,131560,D8,D4,0.026491906,D10,D10
3,12.52741570658125,274829,10449.5,D2,D9,0.057086997,D1,D9
13,10.625678256636103,285956,81373.5,D6,D10,0.10979191843163683,D3,D7
38,12.249077088271497,158927,175036.5,D10,D3,0.088543873,D7,D9
19,12.665741372785329,265920,30131.5,D3,D9,0.2744600425788648,D4,D9
42,12.09587321143327,210752.5,122518,D8,D6,0.3438862649132277,D7,D9
19,8.533547549224739,192048,95880,D7,D5,1.2779750358179969,D4,D3
60,9.209601459770788,260440,73686,D6,D9,0.023810368722389813,D8,D4
16,29.33875915993628,350666,4694,D2,D10,1.254554352751486,D4,D10
107,6.9213319561964415,143042,0,D1,D2,0.7536936934621554,D10,D1
25,10.410199038893918,150237,164079,D10,D3,0.5003347852577918,D5,D6
5,11.95743460329644,270851,0,D1,D9,0.2072479927772929,D2,D8
24,9.318417003683004,180447.5,133717.5,D9,D4,0.11855702542982871,D5,D4
72,10.235637231113309,262327,25580.5,D3,D9,1.0064788951080366,D9,D6
73,4.969315137536972,238949,0,D1,D7,1.1481600680631494,D9,D1
15,8.774549416,115623,200092,D10,D2,0.26572600399286883,D4,D3
22,9.497390664982966,185861.5,123021.5,D8,D4,0.6246936210436028,D5,D5
8,12.834680664025726,127785,116827.5,D8,D2,0.20006890397625043,D2,D9
48,12.456011830230327,276095.5,85207.5,D6,D9,0.7170232599052255,D8,D9
5,12.017536359605815,211369.5,117852,D8,D6,0.013315846100756534,D2,D8
63,7.919753097952756,240275,55429.5,D5,D7,0.9019487172962917,D9,D2
13,13.158405518717164,303009.5,52581.5,D4,D10,0.019583572,D3,D9
11,8.349818824,140840,188254,D10,D2,0.14478326888831256,D3,D3
1,11.562493143155375,252195.5,66030.5,D5,D8,1.3134082033948322,D1,D8
