length,GT,post_huber,slope_30m,GT_relief,post_huber_relief,slope_30m_relief
63.847,1.185580753,0.675545823,3.865142292,1.321329082,0.752822866,4.313629526
315.688,1.133653395,2.107392006,3.896227566,6.247013042,11.61653686,21.50056691
103.867,0.835909371,0.75130224,0.729095231,1.515461697,1.362054645,1.321790589
266.178,0.600600067,1.781344632,5.976037275,2.79029942,8.278229017,27.86388709
216.353,0.431885059,0.495866663,0.818991508,1.630860053,1.872475069,3.092781706
96.546,0.543831554,1.743868292,0.619887831,0.916408476,2.939405267,1.044580007
98.485,0.82376672,1.466991995,5.887599352,1.416059902,2.522145384,10.15589225
203.06,0.254643071,1.359565746,0.276670889,0.902477686,4.819294715,0.980547397
137.498,0.86644933,0.866152388,1.236921187,2.079457393,2.078744631,2.968815804
105.086,1.387277005,0.421230964,0,2.544897506,0.77259224,0
91.954,1.178757026,1.673301567,4.183983611,1.892054171,2.686245538,6.72683686
146.899,1.091248206,1.753358504,1.085342421,2.798158214,4.496789202,2.783011079
85.116,0.251703373,0.49593476,6.016326479,0.373921471,0.736756487,8.970574627
115.518,0.006470597,0.467395141,0.521959036,0.013045819,0.942368705,1.052386972
81.446,1.061269975,0.292854785,1.103758615,1.508768736,0.416296954,1.569187942
256.266,1.709542473,1.257642119,4.192825585,7.648515611,5.625941181,18.78673702
83.057,0.950155303,0.838799498,1.65842204,1.377488616,1.216025824,2.404750246
57.954,1.289649725,1.487151806,1.512089517,1.304685711,1.504574268,1.529815754
77.233,0.269584903,0.279847893,1.278301062,0.363395082,0.377229604,1.723397619
140.124,1.19360415,1.174744252,0.732931011,2.9195307,2.873386748,1.7925723
178.043,0.772661055,2.224277496,0.643691578,2.401140767,6.91527549,2.000314899
141.854,0.227086841,0.958940328,1.052446839,0.56222894,2.374384732,2.605961354
276.261,0.210789075,0.765230544,0.246056519,1.016358692,3.689904001,1.186409166
145.429,0.710229572,0.498469235,0.718523155,1.802807605,1.265253952,1.823861774
